City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,Kaeo,-35.1,173.7833,71.33,92,77,10.33,NZ,2022-02-03 18:53:41
331,Narsaq,60.9167,-46.05,25.83,97,100,8.81,GL,2022-02-03 18:53:42
332,Kieta,-6.2167,155.6333,77.52,90,100,6.89,PG,2022-02-03 18:53:42
333,Agadez,19.75,10.25,57.34,18,0,7.72,NE,2022-02-03 18:53:43
334,Morgan City,29.6994,-91.2068,71.6,100,100,13.8,US,2022-02-03 18:53:43
335,Amuntai,-2.4177,115.2494,74.75,93,100,1.57,ID,2022-02-03 18:53:44
336,Hofn,64.2539,-15.2082,30.7,58,100,22.28,IS,2022-02-03 18:53:44
337,Taltal,-25.4,-70.4833,71.11,62,22,8.72,CL,2022-02-03 18:49:09
338,Dapaong,10.8639,0.205,80.47,8,40,6.64,TG,2022-02-03 18:53:45
339,Beinamar,8.6698,15.3813,76.91,14,9,5.12,TD,2022-02-03 18:53:45
340,Jiuquan,39.7432,98.5174,16.68,39,32,3.56,CN,2022-02-03 18:53:46
341,Cotusca,48.1333,26.85,32.77,85,9,6.15,RO,2022-02-03 18:53:46
342,Los Llanos De Aridane,28.6585,-17.9182,67.12,70,20,1.01,ES,2022-02-03 18:53:47
343,Melton,-37.6833,144.5833,54.63,89,4,3.98,AU,2022-02-03 18:53:47
344,Majene,-3.5403,118.9707,77.23,83,100,4.59,ID,2022-02-03 18:53:48
345,Nyurba,63.2842,118.3319,-26.57,100,78,3.65,RU,2022-02-03 18:53:48
346,Fortuna,40.5982,-124.1573,50.94,82,75,4.0,US,2022-02-03 18:49:18
347,Kidal,18.4411,1.4078,68.67,12,4,12.12,ML,2022-02-03 18:53:49
348,Pritzwalk,53.1494,12.1741,44.58,92,100,10.38,DE,2022-02-03 18:53:50
349,Matagami,49.7502,-77.6328,-7.49,54,20,8.05,CA,2022-02-03 18:53:50
350,Tura,25.5198,90.2201,59.86,57,77,4.65,IN,2022-02-03 18:53:50
351,Pumiao,22.75,108.4833,45.0,79,2,7.05,CN,2022-02-03 18:53:51
352,Torbay,47.6666,-52.7314,36.27,77,75,23.02,CA,2022-02-03 18:53:51
353,Tuensang,26.2833,94.8333,47.64,92,51,2.84,IN,2022-02-03 18:53:52
354,Araouane,18.9048,-3.5265,71.91,9,0,9.48,ML,2022-02-03 18:53:52
355,Damghan,36.1683,54.348,42.75,48,100,3.22,IR,2022-02-03 18:53:53
356,Victor Harbor,-35.5667,138.6167,59.09,71,13,15.82,AU,2022-02-03 18:53:53
